호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
1,150,서울역(1),23578149,111468,3364130,3026680,3446064,3473124,3563150,3302692,3402309
1,151,시청(1),10834381,51096,1562110,1275441,1581722,1635208,1666756,1527076,1586068
1,152,종각,18180448,85435,2740119,2276059,2650404,2634617,2704398,2458042,2716809
1,153,종로3가(1),14349694,67717,2143877,1823175,2106819,2039389,2154261,1989308,2092865
1,154,종로5가,11540627,54823,1701378,1452300,1733436,1703251,1749096,1583541,1617625
1,155,동대문(1),6748605,32073,929424,856439,1026106,994684,1039377,959160,943415
1,156,신설동(1),6793264,32057,968451,827320,1021167,1009433,1028676,947321,990896
1,157,제기동,8815816,41830,1362972,1054708,1291090,1303341,1319459,1239737,1244509
1,158,청량리,11131273,53070,1663065,1422191,1692166,1625265,1664409,1538471,1525706
1,159,동묘앞(1),4944411,23779,664982,650450,773244,725529,782559,707306,640341
2,201,시청(2),10530630,49308,1509636,1230493,1514599,1609428,1593905,1466648,1605921
2,202,을지로입구,21173661,99420,3069180,2563016,3103891,3126026,3163756,2969144,3178648
2,203,을지로3가(2),9655502,45142,1397967,1145321,1393496,1418810,1457299,1357954,1484655
2,204,을지로4가(2),5171428,24234,757713,617335,748924,748476,779530,734316,785134
2,205,동대문역사문화공원(2),8870065,41874,1183853,1062121,1349717,1299288,1409228,1274845,1291013
2,206,신당(2),6549620,30948,938081,801699,984409,971049,989910,916461,948011
2,207,상왕십리,6031936,28359,868250,726582,887732,891727,913417,845230,898998
2,208,왕십리(2),7762020,36689,1088620,940150,1180445,1137723,1205555,1088200,1121327
2,209,한양대,4945053,24136,525650,417121,881751,905154,905222,733742,576413
2,210,뚝섬,8146948,38107,1115742,932383,1154402,1218821,1301811,1174119,1249670
2,211,성수,12729805,59652,1841371,1518779,1844308,1911957,1918376,1762188,1932826
2,212,건대입구(2),19910761,94233,2812465,2491593,2993007,2879350,3098510,2781170,2854666
2,213,구의,10204855,48081,1487694,1253469,1503381,1510809,1535272,1412057,1502173
2,214,강변,19194764,90810,2734139,2531057,2815564,2750228,2924868,2680665,2758243
2,215,잠실나루,6891620,32486,1013481,838217,971614,1050460,1058112,948017,1011719
2,216,잠실(2),36133658,170275,5149168,4611076,5104950,5573680,5468405,4912463,5313916
2,217,잠실새내,10731059,50603,1554834,1320365,1579346,1578422,1641197,1484973,1571922
2,218,종합운동장(2),5990281,27976,634287,524857,900017,922739,1139256,942545,926580
2,219,삼성,25589246,118898,3719644,3046293,3643736,3729855,3893301,3487738,4068679
2,220,선릉,21766204,101637,3286131,2594587,3108392,3219288,3212656,2975142,3370008
2,221,역삼,21203580,98970,3259350,2572602,3058210,3127413,3065235,2830731,3290039
2,222,강남,43508637,202757,6731617,5537751,6234948,6070160,6247693,5876947,6809521
2,223,교대(2),16358706,76725,2379334,1939382,2413688,2442893,2455799,2256186,2471424
